product,utc,point,box_mean,box_max,unit
PrecipRate,2025-10-30T17:30:00Z,4.10,6.37,9.80,mm/hr
PrecipRate,2025-10-30T17:40:00Z,8.10,10.72,15.30,mm/hr
PrecipRate,2025-10-30T17:50:00Z,8.40,7.82,11.50,mm/hr
PrecipRate,2025-10-30T18:00:00Z,3.50,4.98,11.50,mm/hr
PrecipRate,2025-10-30T18:10:00Z,5.40,5.40,11.50,mm/hr
PrecipRate,2025-10-30T18:20:00Z,9.40,8.16,14.40,mm/hr
PrecipRate,2025-10-30T18:30:00Z,5.80,5.70,8.00,mm/hr
PrecipRate,2025-10-30T18:40:00Z,22.70,31.09,68.50,mm/hr
PrecipRate,2025-10-30T18:50:00Z,68.90,63.16,106.10,mm/hr
PrecipRate,2025-10-30T19:00:00Z,59.80,47.60,66.70,mm/hr
PrecipRate,2025-10-30T19:10:00Z,3.80,9.41,18.50,mm/hr
PrecipRate,2025-10-30T19:20:00Z,1.40,3.11,7.10,mm/hr
PrecipRate,2025-10-30T19:30:00Z,0.80,1.44,5.20,mm/hr
PrecipRate,2025-10-30T19:40:00Z,0.00,0.32,0.80,mm/hr
PrecipRate,2025-10-30T19:50:00Z,0.00,0.00,0.00,mm/hr
PrecipRate,2025-10-30T20:00:00Z,0.50,1.07,2.60,mm/hr
PrecipRate,2025-10-30T20:10:00Z,0.00,0.00,0.00,mm/hr
PrecipRate,2025-10-30T20:20:00Z,0.00,0.18,0.60,mm/hr
PrecipRate,2025-12-19T11:00:00Z,0.60,0.81,1.10,mm/hr
PrecipRate,2025-12-19T11:20:00Z,2.00,2.16,2.80,mm/hr
PrecipRate,2025-12-19T11:40:00Z,0.30,0.43,0.70,mm/hr
PrecipRate,2025-12-19T12:00:00Z,46.40,39.21,61.60,mm/hr
PrecipRate,2025-12-19T12:20:00Z,11.30,10.87,14.60,mm/hr
PrecipRate,2025-12-19T12:40:00Z,8.00,6.78,13.70,mm/hr
PrecipRate,2025-12-19T13:00:00Z,8.00,8.24,11.90,mm/hr
PrecipRate,2025-12-19T13:20:00Z,5.40,8.03,11.10,mm/hr
PrecipRate,2025-12-19T13:40:00Z,6.70,10.76,20.20,mm/hr
PrecipRate,2025-12-19T14:00:00Z,2.30,2.34,3.60,mm/hr
PrecipRate,2025-12-19T14:20:00Z,1.90,1.41,2.00,mm/hr
PrecipRate,2025-12-19T14:40:00Z,0.00,0.00,0.00,mm/hr
MultiSensor_QPE_01H_Pass2,2026-05-18T18:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-05-18T19:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-05-18T20:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-05-18T21:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-05-18T22:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-05-18T23:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-05-19T00:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-05-19T01:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-05-19T02:00:00Z,0.00,0.00,0.00,mm
